Start,End,Strand,Gene_ID,Gene_Name
851608,852351,+,Rv0757,phoP
852352,852395,+,upstream_Rv0758,upstream_phoR
852396,853853,+,Rv0758,phoR
853825,854157,-,Rv0759c,Rv0759c
854158,854266,-,upstream_Rv0760c,upstream_Rv0760c
854267,854686,-,Rv0760c,Rv0760c
854687,854698,-,upstream_Rv0761c,upstream_adhB
854699,855826,-,Rv0761c,adhB
855827,855924,-,upstream_Rv0762c,upstream_Rv0762c
855925,856470,-,Rv0762c,Rv0762c
856471,856472,-,upstream_Rv0763c,upstream_Rv0763c
856473,856679,-,Rv0763c,Rv0763c
856680,856681,-,upstream_Rv0764c,upstream_cyp51
856682,858037,-,Rv0764c,cyp51
858037,858864,-,Rv0765c,Rv0765c
858038,858036,-,upstream_Rv0765c,upstream_Rv0765c
858864,860072,-,Rv0766c,cyp123
858865,858863,-,upstream_Rv0766c,upstream_cyp123
860069,860710,-,Rv0767c,Rv0767c
860711,860911,+,upstream_Rv0768,upstream_aldA
860912,862381,+,Rv0768,aldA
862382,862411,+,upstream_Rv0769,upstream_Rv0769
862412,863158,+,Rv0769,Rv0769
863159,863255,+,upstream_Rv0770,upstream_Rv0770
863256,864143,+,Rv0770,Rv0770
864140,864574,+,Rv0771,Rv0771
864575,864585,+,upstream_Rv0772,upstream_purD
864586,865854,+,Rv0772,purD
865851,867389,-,Rv0773c,ggtA
867390,867439,-,upstream_Rv0774c,upstream_Rv0774c
867440,868351,-,Rv0774c,Rv0774c
868352,868406,+,upstream_Rv0775,upstream_Rv0775
868407,869030,+,Rv0775,Rv0775
868984,869763,-,Rv0776c,Rv0776c
869764,870007,+,upstream_Rv0777,upstream_purB
870008,871426,+,Rv0777,purB
871427,871430,+,upstream_Rv0778,upstream_cyp126
871431,872675,+,Rv0778,cyp126
872672,873292,-,Rv0779c,Rv0779c
873293,873342,+,upstream_Rv0780,upstream_purC
873343,874236,+,Rv0780,purC
874237,876817,-,upstream_Rv0783c,upstream_emrB
876818,878440,-,Rv0783c,emrB
878441,878637,+,upstream_Rv0784,upstream_Rv0784
878638,879324,+,Rv0784,Rv0784
879325,879339,+,upstream_Rv0785,upstream_Rv0785
879340,881040,+,Rv0785,Rv0785
881041,881074,-,upstream_Rv0786c,upstream_Rv0786c
881075,881713,-,Rv0786c,Rv0786c
881459,882418,+,Rv0787,Rv0787
882419,882523,+,upstream_Rv0787A,upstream_Rv0787A
882524,882763,+,Rv0787A,Rv0787A
882760,883434,+,Rv0788,purQ
883435,883450,-,upstream_Rv0789c,upstream_Rv0789c
883451,884050,-,Rv0789c,Rv0789c
884051,884071,-,upstream_Rv0790c,upstream_Rv0790c
884072,884800,-,Rv0790c,Rv0790c
884797,885840,-,Rv0791c,Rv0791c
885837,886646,-,Rv0792c,Rv0792c
886647,886718,+,upstream_Rv0793,upstream_Rv0793
886719,887024,+,Rv0793,Rv0793
887025,887136,-,upstream_Rv0794c,upstream_Rv0794c
887137,888636,-,Rv0794c,Rv0794c
888637,890387,+,upstream_Rv0797,upstream_Rv0797
890388,891482,+,Rv0797,Rv0797
891472,892269,-,Rv0798c,cfp29
892266,893273,-,Rv0799c,Rv0799c
893274,893317,+,upstream_Rv0800,upstream_pepC
893318,894619,+,Rv0800,pepC
894620,894630,+,upstream_Rv0801,upstream_Rv0801
894631,894978,+,Rv0801,Rv0801
894972,895628,-,Rv0802c,Rv0802c
895629,895819,+,upstream_Rv0803,upstream_purL
895820,898084,+,Rv0803,purL
898081,898710,+,Rv0804,Rv0804
898711,898830,+,upstream_Rv0805,upstream_Rv0805
898831,899787,+,Rv0805,Rv0805
899732,901330,-,Rv0806c,cpsY
901331,901634,+,upstream_Rv0807,upstream_Rv0807
901635,902024,+,Rv0807,Rv0807
902025,902110,+,upstream_Rv0808,upstream_purF
902111,903694,+,Rv0808,purF
903695,903724,+,upstream_Rv0809,upstream_purM
903725,904819,+,Rv0809,purM
904820,904904,-,upstream_Rv0810c,upstream_Rv0810c
904905,905087,-,Rv0810c,Rv0810c
905088,905233,-,upstream_Rv0811c,upstream_Rv0811c
905234,906340,-,Rv0811c,Rv0811c
906341,906422,+,upstream_Rv0812,upstream_Rv0812
906423,907292,+,Rv0812,Rv0812
907293,907337,-,upstream_Rv0813c,upstream_Rv0813c
907338,908018,-,Rv0813c,Rv0813c
908019,908180,-,upstream_Rv0814c,upstream_Rv0814c
908181,908483,-,Rv0814c,Rv0814c
908484,908484,-,upstream_Rv0815c,upstream_cysA2
908485,909318,-,Rv0815c,cysA2
909319,909610,-,upstream_Rv0816c,upstream_thiX
909611,910033,-,Rv0816c,thiX
910030,910842,-,Rv0817c,Rv0817c
910843,910971,+,upstream_Rv0818,upstream_Rv0818
910972,911739,+,Rv0818,Rv0818
911736,912683,+,Rv0819,mshD
912684,912725,+,upstream_Rv0820,upstream_phoT
912726,913502,+,Rv0820,phoT
913503,913557,-,upstream_Rv0821c,upstream_phoY2
913558,914199,-,Rv0821c,phoY2
914200,914256,-,upstream_Rv0822c,upstream_Rv0822c
914257,916311,-,Rv0822c,Rv0822c
916312,916476,-,upstream_Rv0823c,upstream_Rv0823c
916477,917646,-,Rv0823c,Rv0823c
917647,917733,-,upstream_Rv0824c,upstream_desA1
917734,918750,-,Rv0824c,desA1
918264,918458,+,RVnc0002,ASdes
918459,918911,-,upstream_Rv0825c,upstream_Rv0825c
918912,919553,-,Rv0825c,Rv0825c
919554,919633,+,upstream_Rv0826,upstream_Rv0826
919634,920689,+,Rv0826,Rv0826
920690,920740,-,upstream_Rv0827c,upstream_kmtR
920741,921133,-,Rv0827c,kmtR
921134,921190,-,upstream_Rv0828c,upstream_Rv0828c
921191,921613,-,Rv0828c,Rv0828c
921614,921969,+,upstream_Rv0830,upstream_Rv0830
921970,922875,+,Rv0830,Rv0830
922876,922893,-,upstream_Rv0831c,upstream_Rv0831c
922894,923709,-,Rv0831c,Rv0831c
923710,923802,-,upstream_Rvnt10,upstream_lysT
923803,923875,-,Rvnt10,lysT
923876,923998,+,upstream_Rvnt11,upstream_gluT
923999,924072,+,Rvnt11,gluT
924073,924109,+,upstream_Rvnt12,upstream_aspT
924110,924183,+,Rvnt12,aspT
924184,924212,+,upstream_Rvnt13,upstream_pheU
924213,924286,+,Rvnt13,pheU
924287,924950,+,upstream_Rv0832,upstream_PE_PGRS12
924951,925364,+,Rv0832,PE_PGRS12
925361,927610,+,Rv0833,PE_PGRS13
927611,927836,-,upstream_Rv0834c,upstream_PE_PGRS14
927837,930485,-,Rv0834c,PE_PGRS14
930486,930952,+,upstream_Rv0835,upstream_lpqQ
930953,931597,+,Rv0835,lpqQ
931598,932278,-,upstream_Rv0836c,upstream_Rv0836c
932279,932932,-,Rv0836c,Rv0836c
932933,933002,-,upstream_Rv0837c,upstream_Rv0837c
933003,934031,-,Rv0837c,Rv0837c
934032,934719,+,upstream_Rv0838,upstream_lpqR
934720,935490,+,Rv0838,lpqR
935491,935576,+,upstream_Rv0839,upstream_Rv0839
935577,936389,+,Rv0839,Rv0839
936390,936456,-,upstream_Rv0840c,upstream_pip
936457,937317,-,Rv0840c,pip
937318,937592,+,upstream_Rv0841,upstream_Rv0841
937593,937835,+,Rv0841,Rv0841
937836,938111,+,upstream_Rv0842,upstream_Rv0842
938112,939404,+,Rv0842,Rv0842
939388,940392,+,Rv0843,Rv0843
940393,940455,-,upstream_Rv0844c,upstream_narL
940456,941106,-,Rv0844c,narL
941107,941189,+,upstream_Rv0845,upstream_Rv0845
941190,942467,+,Rv0845,Rv0845
942468,942679,-,upstream_Rv0846c,upstream_Rv0846c
942680,944194,-,Rv0846c,Rv0846c
944195,944342,+,upstream_Rv0847,upstream_lpqS
944343,944735,+,Rv0847,lpqS
944736,944937,+,upstream_Rv0848,upstream_cysK2
944938,946056,+,Rv0848,cysK2
946056,947315,+,Rv0849,Rv0849
946057,946055,+,upstream_Rv0849,upstream_Rv0849
947316,947640,-,upstream_Rv0851c,upstream_Rv0851c
947641,948468,-,Rv0851c,Rv0851c
948469,948756,+,upstream_Rv0852,upstream_Rv0852
948757,949395,+,Rv0852,Rv0852
949396,949435,-,upstream_Rv0853c,upstream_pdc
949436,951118,-,Rv0853c,pdc
951119,951182,+,upstream_Rv0854,upstream_Rv0854
951183,951626,+,Rv0854,Rv0854
951627,951631,+,upstream_Rv0855,upstream_far
951632,952711,+,Rv0855,far
952712,952824,+,upstream_Rv0856,upstream_Rv0856
952825,953229,+,Rv0856,Rv0856
953230,953256,+,upstream_Rv0857,upstream_Rv0857
953257,953730,+,Rv0857,Rv0857
953727,954920,-,Rv0858c,dapC
954921,955076,+,upstream_Rv0859,upstream_Rv0859
955077,956288,+,Rv0859,Rv0859
956289,956292,+,upstream_Rv0860,upstream_fadB
956293,958455,+,Rv0860,fadB
958456,958522,-,upstream_Rv0861c,upstream_ercc3
958523,960151,-,Rv0861c,ercc3
960152,960341,-,upstream_Rv0862c,upstream_Rv0862c
960342,962612,-,Rv0862c,Rv0862c
962599,962880,+,Rv0863,Rv0863
962881,962889,+,upstream_Rv0864,upstream_moaC2
962890,963393,+,Rv0864,moaC2
963390,963872,+,Rv0865,mog
963869,964294,+,Rv0866,moaE2
964295,964311,-,upstream_Rv0867c,upstream_rpfA
964312,965535,-,Rv0867c,rpfA
965536,965982,-,upstream_Rv0868c,upstream_moaD2
965983,966261,-,Rv0868c,moaD2
966262,966264,-,upstream_Rv0869c,upstream_moaA2
966265,967347,-,Rv0869c,moaA2
967344,967733,-,Rv0870c,Rv0870c
967734,967897,+,upstream_Rv0871,upstream_cspB
967898,968305,+,Rv0871,cspB
968306,968423,-,upstream_Rv0872c,upstream_PE_PGRS15
968424,970244,-,Rv0872c,PE_PGRS15
970245,970504,+,upstream_Rv0873,upstream_fadE10
970505,972457,+,Rv0873,fadE10
972458,972545,-,upstream_Rv0874c,upstream_Rv0874c
972546,973706,-,Rv0874c,Rv0874c
973707,973805,-,upstream_Rv0875c,upstream_Rv0875c
973806,974294,-,Rv0875c,Rv0875c
974291,975937,-,Rv0876c,Rv0876c
975938,976074,+,upstream_Rv0877,upstream_Rv0877
976075,976863,+,Rv0877,Rv0877
976864,976871,-,upstream_Rv0878c,upstream_PPE13
976872,978203,-,Rv0878c,PPE13
978204,978480,-,upstream_Rv0879c,upstream_Rv0879c
978481,978756,-,Rv0879c,Rv0879c
978757,978933,+,upstream_Rv0880,upstream_Rv0880
978934,979365,+,Rv0880,Rv0880
979362,980228,+,Rv0881,Rv0881
980225,980509,+,Rv0882,Rv0882
980506,981267,-,Rv0883c,Rv0883c
981268,981423,-,upstream_Rv0884c,upstream_serC
981424,982554,-,Rv0884c,serC
982555,982761,+,upstream_Rv0885,upstream_Rv0885
982762,983784,+,Rv0885,Rv0885
983785,983802,+,upstream_Rv0886,upstream_fprB
983803,985530,+,Rv0886,fprB
985513,985971,-,Rv0887c,Rv0887c
985972,987232,+,upstream_Rv0888,upstream_Rv0888
987233,988705,+,Rv0888,Rv0888
988706,988739,-,upstream_Rv0889c,upstream_citA
988740,989861,-,Rv0889c,citA
989862,989947,-,upstream_Rv0890c,upstream_Rv0890c
989948,992596,-,Rv0890c,Rv0890c
992597,992597,-,upstream_Rv0891c,upstream_Rv0891c
992598,993455,-,Rv0891c,Rv0891c
993456,993852,+,upstream_Rv0892,upstream_Rv0892
993853,995340,+,Rv0892,Rv0892
995318,996295,-,Rv0893c,Rv0893c
996296,996523,+,upstream_Rv0894,upstream_Rv0894
996524,997705,+,Rv0894,Rv0894
997706,997781,+,upstream_Rv0895,upstream_Rv0895
997782,999299,+,Rv0895,Rv0895
999300,999471,+,upstream_Rv0896,upstream_gltA2
999472,1000767,+,Rv0896,gltA2
1000768,1000807,-,upstream_Rv0897c,upstream_Rv0897c
1000808,1002415,-,Rv0897c,Rv0897c
1002416,1002440,-,upstream_Rv0898c,upstream_Rv0898c
1002441,1002704,-,Rv0898c,Rv0898c
1002705,1002811,+,upstream_Rv0899,upstream_arfA
1002812,1003792,+,Rv0899,arfA
1003793,1003804,+,upstream_Rv0900,upstream_arfB
1003805,1003957,+,Rv0900,arfB
1003957,1004484,+,Rv0901,arfC
1003958,1003956,+,upstream_Rv0901,upstream_arfC
1004485,1004500,-,upstream_Rv0902c,upstream_prrB
1004501,1005841,-,Rv0902c,prrB
1005842,1005851,-,upstream_Rv0903c,upstream_prrA
1005852,1006562,-,Rv0903c,prrA
1006563,1006692,-,upstream_Rv0904c,upstream_accD3
1006693,1008180,-,Rv0904c,accD3
1008181,1008206,+,upstream_Rv0905,upstream_echA6
1008207,1008938,+,Rv0905,echA6
1008939,1008943,+,upstream_Rv0906,upstream_Rv0906
1008944,1010062,+,Rv0906,Rv0906
1010063,1010135,+,upstream_Rv0907,upstream_Rv0907
1010136,1011734,+,Rv0907,Rv0907
1011731,1014124,+,Rv0908,ctpE
1014125,1014680,+,upstream_Rv0909,upstream_Rv0909
1014681,1014860,+,Rv0909,Rv0909
1014861,1014865,+,upstream_Rv0910,upstream_Rv0910
1014866,1015300,+,Rv0910,Rv0910
1015301,1015397,+,upstream_Rv0911,upstream_Rv0911
1015398,1016171,+,Rv0911,Rv0911
1016172,1016235,+,upstream_Rv0912,upstream_Rv0912
1016236,1016685,+,Rv0912,Rv0912
1016686,1017216,-,upstream_Rv0913c,upstream_Rv0913c
1017217,1018725,-,Rv0913c,Rv0913c
1018726,1018726,-,upstream_Rv0914c,upstream_Rv0914c
1018727,1019965,-,Rv0914c,Rv0914c
1019966,1020057,-,upstream_Rv0915c,upstream_PPE14
1020058,1021329,-,Rv0915c,PPE14
1021330,1021343,-,upstream_Rv0916c,upstream_PE7
1021344,1021643,-,Rv0916c,PE7
1021644,1022086,+,upstream_Rv0917,upstream_betP
1022087,1023868,+,Rv0917,betP
1023869,1024210,+,upstream_Rv0918,upstream_Rv0918
1024211,1024687,+,Rv0918,Rv0918
1024684,1025184,+,Rv0919,Rv0919
1025185,1025320,-,upstream_Rvnt14,upstream_argT
1025321,1025393,-,Rvnt14,argT
1025394,1025496,-,upstream_Rv0920c,upstream_Rv0920c
1025497,1026816,-,Rv0920c,Rv0920c
1026817,1027103,+,upstream_Rv0921,upstream_Rv0921
1027104,1027685,+,Rv0921,Rv0921
1027685,1029337,+,Rv0922,Rv0922
1027686,1027684,+,upstream_Rv0922,upstream_Rv0922
1029338,1029512,-,upstream_Rv0923c,upstream_Rv0923c
1029513,1030577,-,Rv0923c,Rv0923c
1030578,1031864,-,Rv0924c,mntH
1030578,1030577,-,upstream_Rv0924c,upstream_mntH
1031865,1031895,-,upstream_Rv0925c,upstream_Rv0925c
1031896,1032633,-,Rv0925c,Rv0925c
1032634,1032709,-,upstream_Rv0926c,upstream_Rv0926c
1032710,1033786,-,Rv0926c,Rv0926c
1033787,1033839,-,upstream_Rv0927c,upstream_Rv0927c
1033840,1034631,-,Rv0927c,Rv0927c
1034632,1034902,+,upstream_Rv0928,upstream_pstS3
1034903,1036015,+,Rv0928,pstS3
1036016,1036027,+,upstream_Rv0929,upstream_pstC2
1036028,1037002,+,Rv0929,pstC2
1036999,1037925,+,Rv0930,pstA1
1037920,1039914,-,Rv0931c,pknD
1039915,1039935,-,upstream_Rv0932c,upstream_pstS2
1039936,1041048,-,Rv0932c,pstS2
1041049,1041263,+,upstream_Rv0933,upstream_pstB
1041264,1042094,+,Rv0933,pstB
1042095,1042114,+,upstream_Rv0934,upstream_pstS1
1042115,1043239,+,Rv0934,pstS1
1043240,1043298,+,upstream_Rv0935,upstream_pstC1
1043299,1044315,+,Rv0935,pstC1
1044316,1044316,+,upstream_Rv0936,upstream_pstA2
1044317,1045222,+,Rv0936,pstA2
1045199,1046020,-,Rv0937c,mku
1046021,1046135,+,upstream_Rv0938,upstream_ligD
1046136,1048415,+,Rv0938,ligD
1048412,1050346,+,Rv0939,Rv0939
1050347,1050592,-,upstream_Rv0940c,upstream_Rv0940c
1050593,1051459,-,Rv0940c,Rv0940c
1051460,1051543,-,upstream_Rv0941c,upstream_Rv0941c
1051544,1052317,-,Rv0941c,Rv0941c
1052318,1052359,+,upstream_Rv0942,upstream_Rv0942
1052360,1052638,+,Rv0942,Rv0942
1052639,1052695,-,upstream_Rv0943c,upstream_Rv0943c
1052696,1053736,-,Rv0943c,Rv0943c
1053737,1053764,+,upstream_Rv0944,upstream_Rv0944
1053765,1054241,+,Rv0944,Rv0944
1054242,1054246,+,upstream_Rv0945,upstream_Rv0945
1054247,1055008,+,Rv0945,Rv0945
1055009,1055023,-,upstream_Rv0946c,upstream_pgi
1055024,1056685,-,Rv0946c,pgi
1056686,1057645,-,upstream_Rv0948c,upstream_Rv0948c
1057646,1057963,-,Rv0948c,Rv0948c
1057964,1058259,+,upstream_Rv0949,upstream_uvrD1
1058260,1060575,+,Rv0949,uvrD1
1060576,1060655,-,upstream_Rv0950c,upstream_Rv0950c
1060656,1061654,-,Rv0950c,Rv0950c
1061655,1061963,+,upstream_Rv0951,upstream_sucC
1061964,1063127,+,Rv0951,sucC
1063128,1063139,+,upstream_Rv0952,upstream_sucD
1063140,1064051,+,Rv0952,sucD
1064052,1064113,-,upstream_Rv0953c,upstream_Rv0953c
1064114,1064962,-,Rv0953c,Rv0953c
1064963,1065126,+,upstream_Rv0954,upstream_Rv0954
1065127,1066038,+,Rv0954,Rv0954
1066039,1066077,+,upstream_Rv0955,upstream_Rv0955
1066078,1067445,+,Rv0955,Rv0955
1067446,1067560,+,upstream_Rv0956,upstream_purN
1067561,1068208,+,Rv0956,purN
1068205,1069776,+,Rv0957,purH
1069777,1069882,+,upstream_Rv0958,upstream_Rv0958
1069883,1071262,+,Rv0958,Rv0958
1071255,1073273,+,Rv0959,Rv0959
1073274,1073326,+,upstream_Rv0959A,upstream_vapB9
1073327,1073548,+,Rv0959A,vapB9
1073545,1073928,+,Rv0960,vapC9
1073929,1074073,+,upstream_Rv0961,upstream_Rv0961
1074074,1074421,+,Rv0961,Rv0961
1074422,1074439,-,upstream_Rv0962c,upstream_lprP
1074440,1075114,-,Rv0962c,lprP
1075115,1075296,-,upstream_Rv0963c,upstream_Rv0963c
1075297,1076097,-,Rv0963c,Rv0963c
1076098,1076195,-,upstream_Rv0964c,upstream_Rv0964c
1076196,1076678,-,Rv0964c,Rv0964c
1076679,1076777,-,upstream_Rv0965c,upstream_Rv0965c
1076778,1077197,-,Rv0965c,Rv0965c
1077198,1077232,-,upstream_Rv0966c,upstream_Rv0966c
1077233,1077835,-,Rv0966c,Rv0966c
1077836,1077974,+,upstream_Rv0967,upstream_csoR
1077975,1078334,+,Rv0967,csoR
1078335,1078390,+,upstream_Rv0968,upstream_Rv0968
1078391,1078687,+,Rv0968,Rv0968
1078688,1078742,+,upstream_Rv0969,upstream_ctpV
1078743,1081055,+,Rv0969,ctpV
1081052,1081684,+,Rv0970,Rv0970
1081685,1081774,-,upstream_Rv0971c,upstream_echA7
1081775,1082584,-,Rv0971c,echA7
1082584,1083750,-,Rv0972c,fadE12
1082585,1082583,-,upstream_Rv0972c,upstream_fadE12
1083747,1085750,-,Rv0973c,accA2
1085751,1085755,-,upstream_Rv0974c,upstream_accD2
1085756,1087345,-,Rv0974c,accD2
1087346,1087347,-,upstream_Rv0975c,upstream_fadE13
1087348,1088496,-,Rv0975c,fadE13
1088493,1090175,-,Rv0976c,Rv0976c
1090176,1090372,+,upstream_Rv0977,upstream_PE_PGRS16
1090373,1093144,+,Rv0977,PE_PGRS16
1093145,1093360,-,upstream_Rv0978c,upstream_PE_PGRS17
1093361,1094356,-,Rv0978c,PE_PGRS17
1094357,1094669,-,upstream_Rv0979c,upstream_Rv0979c
1094670,1094864,-,Rv0979c,Rv0979c
1094865,1094885,+,upstream_Rv0979A,upstream_rpmF
1094886,1095059,+,Rv0979A,rpmF
1095060,1095077,-,upstream_Rv0980c,upstream_PE_PGRS18
1095078,1096451,-,Rv0980c,PE_PGRS18
1096452,1096821,+,upstream_Rv0981,upstream_mprA
1096822,1097508,+,Rv0981,mprA
1097508,1099022,+,Rv0982,mprB
1097509,1097507,+,upstream_Rv0982,upstream_mprB
1099023,1099065,+,upstream_Rv0983,upstream_pepD
1099066,1100460,+,Rv0983,pepD
1100460,1101005,+,Rv0984,moaB2
1100461,1100459,+,upstream_Rv0984,upstream_moaB2
1101006,1101024,-,upstream_Rv0985c,upstream_mscL
1101025,1101480,-,Rv0985c,mscL
1101481,1101802,+,upstream_Rv0986,upstream_Rv0986
1101803,1102549,+,Rv0986,Rv0986
1102542,1105109,+,Rv0987,Rv0987
1105110,1105115,+,upstream_Rv0988,upstream_Rv0988
1105116,1106276,+,Rv0988,Rv0988
1106277,1106404,-,upstream_Rv0989c,upstream_grcC2
1106405,1107382,-,Rv0989c,grcC2
1107383,1107442,-,upstream_Rv0990c,upstream_Rv0990c
1107443,1108099,-,Rv0990c,Rv0990c
1108100,1108171,-,upstream_Rv0991c,upstream_Rv0991c
1108172,1108504,-,Rv0991c,Rv0991c
1108505,1108577,-,upstream_Rv0992c,upstream_Rv0992c
1108578,1109171,-,Rv0992c,Rv0992c
1109172,1109271,+,upstream_Rv0993,upstream_galU
1109272,1110192,+,Rv0993,galU
1110193,1110268,+,upstream_Rv0994,upstream_moeA1
1110269,1111549,+,Rv0994,moeA1
1111550,1111611,+,upstream_Rv0995,upstream_rimJ
1111612,1112223,+,Rv0995,rimJ
1112224,1112383,+,upstream_Rv0996,upstream_Rv0996
1112384,1113460,+,Rv0996,Rv0996
1113461,1113510,+,upstream_Rvnt15,upstream_alaV
1113511,1113583,+,Rvnt15,alaV
1113584,1113860,+,upstream_Rv0997a,upstream_Rv0997a
1113861,1114112,+,Rv0997a,Rv0997a
1114113,1114292,+,upstream_Rv0997,upstream_Rv0997
1114293,1114724,+,Rv0997,Rv0997
1114725,1114747,+,upstream_Rv0998,upstream_Rv0998
1114748,1115749,+,Rv0998,Rv0998
1115750,1115766,+,upstream_Rv0999,upstream_Rv0999
1115767,1116525,+,Rv0999,Rv0999
1116526,1116530,-,upstream_Rv1000c,upstream_Rv1000c
1116531,1117148,-,Rv1000c,Rv1000c
1117149,1117184,+,upstream_Rv1001,upstream_arcA
1117185,1118393,+,Rv1001,arcA
1118394,1118427,-,upstream_Rv1002c,upstream_Rv1002c
1118428,1119939,-,Rv1002c,Rv1002c
1119940,1120021,+,upstream_Rv1003,upstream_Rv1003
1120022,1120879,+,Rv1003,Rv1003
1120880,1120888,-,upstream_Rv1004c,upstream_Rv1004c
1120889,1122148,-,Rv1004c,Rv1004c
1122149,1122221,-,upstream_Rv1005c,upstream_Rv1005c
1122222,1123598,-,Rv1005c,Rv1005c
1123599,1123713,+,upstream_Rv1006,upstream_Rv1006
1123714,1125417,+,Rv1006,Rv1006
1125418,1125443,-,upstream_Rv1007c,upstream_metS
1125444,1127003,-,Rv1007c,metS
1127004,1127088,+,upstream_Rv1008,upstream_tatD
1127089,1127883,+,Rv1008,tatD
1127884,1128090,+,upstream_Rv1009,upstream_rpfB
1128091,1129179,+,Rv1009,rpfB
1129152,1130105,+,Rv1010,ksgA
1130106,1130190,+,upstream_Rv1011,upstream_ispE
1130191,1131111,+,Rv1011,ispE
1131112,1131127,+,upstream_Rv1012,upstream_Rv1012
1131128,1131421,+,Rv1012,Rv1012
1131422,1131624,+,upstream_Rv1013,upstream_pks16
1131625,1133259,+,Rv1013,pks16
1133260,1133332,-,upstream_Rv1014c,upstream_pth
1133333,1133908,-,Rv1014c,pth
1133909,1133920,-,upstream_Rv1015c,upstream_rplY
1133921,1134568,-,Rv1015c,rplY
1134569,1134784,-,upstream_Rv1016c,upstream_lpqT
1134785,1135465,-,Rv1016c,lpqT
1135466,1135500,-,upstream_Rv1017c,upstream_prsA
1135501,1136481,-,Rv1017c,prsA
1136482,1136572,-,upstream_Rv1018c,upstream_glmU
1136573,1138060,-,Rv1018c,glmU
1138061,1138075,-,upstream_Rvnt16,upstream_glnT
1138076,1138147,-,Rvnt16,glnT
1138148,1138314,+,upstream_Rv1019,upstream_Rv1019
1138315,1138908,+,Rv1019,Rv1019
1138909,1138966,+,upstream_Rv1020,upstream_mfd
1138967,1142671,+,Rv1020,mfd
1142671,1143648,+,Rv1021,Rv1021
1142672,1142670,+,upstream_Rv1021,upstream_Rv1021
1143649,1143735,+,upstream_Rv1022,upstream_lpqU
1143736,1144467,+,Rv1022,lpqU
1144468,1144563,+,upstream_Rv1023,upstream_eno
1144564,1145853,+,Rv1023,eno
1145854,1145857,+,upstream_Rv1024,upstream_Rv1024
1145858,1146544,+,Rv1024,Rv1024
1146545,1146560,+,upstream_Rv1025,upstream_Rv1025
1146561,1147028,+,Rv1025,Rv1025
1147019,1147978,+,Rv1026,Rv1026
1147979,1148426,-,upstream_Rv1027c,upstream_kdpE
1148427,1149107,-,Rv1027c,kdpE
1149104,1151686,-,Rv1028c,kdpD
1151687,1151919,+,upstream_Rv1028A,upstream_kdpF
1151920,1152012,+,Rv1028A,kdpF
1152012,1153727,+,Rv1029,kdpA
1152013,1152011,+,upstream_Rv1029,upstream_kdpA
1153724,1155853,+,Rv1030,kdpB
1155853,1156422,+,Rv1031,kdpC
1155854,1155852,+,upstream_Rv1031,upstream_kdpC
1156423,1156425,-,upstream_Rv1032c,upstream_trcS
1156426,1157955,-,Rv1032c,trcS
1157956,1157962,-,upstream_Rv1033c,upstream_trcR
1157963,1158736,-,Rv1033c,trcR
1158737,1160543,-,upstream_Rv1037c,upstream_esxI
1160544,1160828,-,Rv1037c,esxI
1160829,1160854,-,upstream_Rv1038c,upstream_esxJ
1160855,1161151,-,Rv1038c,esxJ
1161152,1161296,-,upstream_Rv1039c,upstream_PPE15
1161297,1162472,-,Rv1039c,PPE15
1162473,1162548,-,upstream_Rv1040c,upstream_PE8
1162549,1163376,-,Rv1040c,PE8
1163377,1164571,-,upstream_Rv1041c,upstream_Rv1041c
1164572,1165435,-,Rv1041c,Rv1041c
1165092,1165499,-,Rv1042c,Rv1042c
1165500,1165780,-,upstream_Rv1043c,upstream_Rv1043c
1165781,1166806,-,Rv1043c,Rv1043c
1166807,1167052,+,upstream_Rv1044,upstream_Rv1044
1167053,1167676,+,Rv1044,Rv1044
1167673,1168554,+,Rv1045,Rv1045
1168555,1169422,+,upstream_Rv1047,upstream_Rv1047
1169423,1170670,+,Rv1047,Rv1047
1170671,1171037,-,upstream_Rv1048c,upstream_Rv1048c
1171038,1172153,-,Rv1048c,Rv1048c
1172154,1172385,+,upstream_Rv1049,upstream_Rv1049
1172386,1172832,+,Rv1049,Rv1049
1172833,1172880,+,upstream_Rv1050,upstream_Rv1050
1172881,1173786,+,Rv1050,Rv1050
1173787,1173944,-,upstream_Rv1051c,upstream_Rv1051c
1173945,1174700,-,Rv1051c,Rv1051c
1174701,1175722,+,upstream_Rv1052,upstream_Rv1052
1175723,1176112,+,Rv1052,Rv1052
1176113,1177395,+,upstream_Rvnt17,upstream_leuX
1177396,1177469,+,Rvnt17,leuX
1177470,1177627,+,upstream_Rv1056,upstream_Rv1056
1177628,1178392,+,Rv1056,Rv1056
1178393,1179395,+,upstream_Rv1057,upstream_Rv1057
1179396,1180577,+,Rv1057,Rv1057
1180578,1180683,+,upstream_Rv1058,upstream_fadD14
1180684,1182315,+,Rv1058,fadD14
1182316,1182390,+,upstream_Rv1059,upstream_Rv1059
1182391,1183455,+,Rv1059,Rv1059
1183456,1183507,+,upstream_Rv1060,upstream_Rv1060
1183508,1183981,+,Rv1060,Rv1060
1183982,1184014,+,upstream_Rv1061,upstream_Rv1061
1184015,1184878,+,Rv1061,Rv1061
1184879,1184882,+,upstream_Rv1062,upstream_Rv1062
1184883,1185740,+,Rv1062,Rv1062
1185741,1186823,-,Rv1063c,Rv1063c
1185741,1185740,-,upstream_Rv1063c,upstream_Rv1063c
